cliente_id;data_disparo;dia_semana;canal;tipo_campanha;segmento_cliente;genero;faixa_etaria;opt_in_email;opt_in_sms;opt_in_push;opt_in_whatsapp;teve_desconto;pct_desconto;numero_disparos_30d;dias_desde_ultima_compra;frequencia_compras_historica;ticket_medio_historico_brl;abriu;clicou;converteu;valor_compra_brl;categoria_produto;dias_ate_recompra
CLI01279;2024-08-22;Quinta;E-mail;Carrinho Abandonado;Ativo;Não informado;35-44;Sim;Não;Não;Não;Não;0;3;19;17;215.36;Não;Não;Não;0.0;;
CLI00972;2025-06-01;Domingo;E-mail;Programa de Fidelidade;Ativo;F;18-24;Sim;Não;Não;Sim;Não;0;8;59;2;142.69;Não;Não;Não;0.0;;
CLI00923;2024-04-19;Sexta;E-mail;Conteúdo/Educativo;Em Risco;F;45-54;Sim;Não;Não;Não;Não;0;7;176;2;111.17;Não;Não;Não;0.0;;
CLI01201;2025-06-24;Terça;SMS;Reativação;VIP;F;35-44;Sim;Não;Não;Sim;Não;0;6;13;2;484.68;Não;Não;Não;0.0;;
CLI00986;2024-05-16;Quinta;Push;Reativação;Ativo;F;18-24;Sim;Sim;Sim;Não;Não;0;8;32;8;137.81;Não;Não;Não;0.0;;
CLI01660;2024-04-01;Segunda;WhatsApp;Lançamento de Produto;Inativo;Não informado;35-44;Não;Sim;Não;Sim;Não;0;5;376;6;154.67;Sim;Sim;Não;0.0;;
CLI01141;2024-08-19;Segunda;SMS;Reativação;Ativo;F;45-54;Sim;Sim;Sim;Não;Não;0;3;87;16;178.55;Sim;Sim;Não;0.0;;
CLI01126;2025-05-26;Segunda;E-mail;Programa de Fidelidade;Novo;M;18-24;Sim;Não;Não;Sim;Não;0;2;29;3;90.18;Não;Não;Não;0.0;;
CLI01059;2025-06-11;Quarta;WhatsApp;Conteúdo/Educativo;Ativo;Não informado;55+;Sim;Sim;Não;Sim;Sim;10;5;42;10;205.31;Não;Não;Não;0.0;;
CLI01417;2025-06-18;Quarta;E-mail;Cross-sell;Inativo;M;45-54;Sim;Sim;Não;Sim;Não;0;2;196;5;131.93;Não;Não;Não;0.0;;
CLI01376;2025-05-07;Quarta;Push;Reativação;VIP;F;45-54;Sim;Sim;Sim;Não;Sim;15;5;28;18;602.31;Sim;Sim;Não;0.0;;
CLI01133;2024-10-23;Quarta;WhatsApp;Promoção Flash;Em Risco;F;35-44;Sim;Sim;Sim;Sim;Sim;20;5;101;6;192.05;Não;Não;Não;0.0;;
CLI00284;2024-07-18;Quinta;E-mail;Cross-sell;Em Risco;F;45-54;Sim;Sim;Não;Sim;Não;0;12;131;1;208.59;Não;Não;Não;0.0;;
CLI00072;2024-01-04;Quinta;E-mail;Conteúdo/Educativo;Ativo;F;25-34;Sim;Sim;Não;Não;Não;0;1;66;23;157.77;Sim;Não;Não;0.0;;
CLI00572;2024-12-03;Terça;WhatsApp;Promoção Flash;Ativo;Não informado;18-24;Sim;Sim;Não;Sim;Sim;25;4;24;23;234.98;Sim;Sim;Não;0.0;;
CLI00799;2025-03-08;Sábado;E-mail;Reativação;Em Risco;M;55+;Sim;Não;Não;Não;Não;0;9;141;6;203.98;Não;Não;Não;0.0;;
CLI00178;2024-04-02;Terça;Push;Programa de Fidelidade;Ativo;F;35-44;Sim;Sim;Sim;Sim;Sim;15;10;51;18;173.55;Não;Não;Não;0.0;;
CLI00031;2025-01-11;Sábado;Push;Conteúdo/Educativo;Ativo;F;25-34;Não;Não;Sim;Sim;Sim;15;4;85;18;174.91;Não;Não;Não;0.0;;
CLI01487;2025-02-18;Terça;E-mail;Promoção Flash;Em Risco;F;18-24;Sim;Sim;Não;Sim;Sim;15;7;158;5;128.01;Não;Não;Não;0.0;;
CLI00370;2025-01-06;Segunda;SMS;Reativação;Inativo;F;35-44;Sim;Sim;Não;Sim;Sim;15;4;374;6;140.7;Sim;Não;Não;0.0;;
CLI00272;2025-03-17;Segunda;WhatsApp;Conteúdo/Educativo;Ativo;F;45-54;Sim;Não;Não;Sim;Não;0;3;81;6;269.49;Não;Não;Não;0.0;;
CLI00383;2025-01-24;Sexta;E-mail;Lançamento de Produto;Ativo;F;25-34;Sim;Sim;Sim;Não;Não;0;5;15;1;263.8;Não;Não;Não;0.0;;
CLI01171;2025-01-12;Domingo;WhatsApp;Programa de Fidelidade;Ativo;F;25-34;Sim;Não;Sim;Sim;Sim;10;7;61;21;251.54;Não;Não;Não;0.0;;
CLI00283;2025-05-14;Quarta;E-mail;Promoção Flash;Em Risco;F;45-54;Sim;Não;Sim;Não;Sim;20;7;103;1;203.04;Não;Não;Não;0.0;;
CLI00297;2024-10-14;Segunda;E-mail;Conteúdo/Educativo;Ativo;F;18-24;Sim;Não;Sim;Sim;Não;0;4;32;10;150.57;Sim;Sim;Não;0.0;;
CLI00685;2025-06-08;Domingo;SMS;Cross-sell;Novo;F;55+;Sim;Sim;Não;Sim;Não;0;7;29;4;87.08;Não;Não;Não;0.0;;
CLI01477;2025-01-10;Sexta;E-mail;Reativação;Novo;F;25-34;Sim;Sim;Sim;Não;Não;0;7;12;5;102.21;Não;Não;Não;0.0;;
CLI01707;2024-02-16;Sexta;E-mail;Conteúdo/Educativo;Novo;Não informado;45-54;Sim;Não;Sim;Sim;Não;0;2;28;2;96.7;Sim;Não;Não;0.0;;
CLI01018;2024-01-01;Segunda;Push;Reativação;Em Risco;F;35-44;Sim;Não;Sim;Sim;Não;0;6;99;3;187.47;Não;Não;Não;0.0;;
CLI01443;2024-12-16;Segunda;E-mail;Lançamento de Produto;Ativo;F;35-44;Sim;Sim;Sim;Sim;Não;0;4;42;24;228.9;Sim;Não;Não;0.0;;
CLI00364;2025-05-30;Sexta;E-mail;Promoção Flash;Ativo;F;25-34;Sim;Não;Não;Não;Sim;5;3;50;12;253.15;Não;Não;Não;0.0;;
CLI01673;2025-06-13;Sexta;E-mail;Conteúdo/Educativo;Ativo;F;18-24;Sim;Sim;Não;Sim;Sim;30;6;45;3;244.66;Sim;Não;Não;0.0;;
CLI01111;2025-01-17;Sexta;E-mail;Reativação;VIP;F;18-24;Sim;Sim;Não;Sim;Não;0;7;45;24;453.3;Não;Não;Não;0.0;;
CLI00121;2024-04-03;Quarta;E-mail;Aniversário;Em Risco;F;18-24;Sim;Não;Sim;Não;Não;0;1;113;6;173.0;Não;Não;Não;0.0;;
CLI00090;2025-01-06;Segunda;E-mail;Pós-compra;Ativo;F;45-54;Sim;Não;Não;Sim;Não;0;7;21;23;173.78;Sim;Sim;Não;0.0;;
CLI00991;2024-09-19;Quinta;WhatsApp;Pós-compra;VIP;M;55+;Sim;Sim;Sim;Sim;Não;0;6;42;2;435.63;Sim;Não;Não;0.0;;
CLI01432;2024-10-27;Domingo;E-mail;Promoção Flash;Ativo;F;25-34;Sim;Sim;Sim;Não;Sim;15;7;81;7;245.28;Não;Não;Não;0.0;;
CLI01772;2025-02-26;Quarta;E-mail;Promoção Flash;Em Risco;F;18-24;Sim;Sim;Sim;Sim;Não;0;3;151;2;221.28;Não;Não;Não;0.0;;
CLI01501;2024-03-31;Domingo;WhatsApp;Pós-compra;Ativo;F;35-44;Sim;Sim;Não;Sim;Não;0;4;33;11;264.69;Sim;Sim;Não;0.0;;
CLI00437;2024-03-13;Quarta;E-mail;Aniversário;Novo;F;55+;Sim;Não;Sim;Não;Não;0;2;25;5;149.98;Não;Não;Não;0.0;;
CLI00455;2024-07-06;Sábado;E-mail;Programa de Fidelidade;Em Risco;F;25-34;Sim;Sim;Não;Sim;Não;0;2;137;1;117.9;Não;Não;Não;0.0;;
CLI01688;2024-09-04;Quarta;E-mail;Programa de Fidelidade;Novo;F;18-24;Sim;Sim;Sim;Sim;Não;0;4;2;3;130.93;Sim;Não;Não;0.0;;
CLI00080;2025-03-15;Sábado;E-mail;Promoção Flash;Ativo;M;35-44;Sim;Não;Não;Não;Não;0;2;47;21;218.47;Não;Não;Não;0.0;;
CLI01031;2024-07-18;Quinta;SMS;Lançamento de Produto;Ativo;M;25-34;Sim;Sim;Sim;Não;Não;0;3;44;9;275.97;Não;Não;Não;0.0;;
CLI01292;2024-11-01;Sexta;E-mail;Reativação;Inativo;Não informado;35-44;Sim;Sim;Não;Sim;Sim;25;1;352;3;139.33;Não;Não;Não;0.0;;
CLI01444;2024-02-21;Quarta;E-mail;Cross-sell;Em Risco;Não informado;35-44;Sim;Sim;Não;Sim;Não;0;3;101;2;165.83;Não;Não;Não;0.0;;
CLI01497;2024-01-29;Segunda;Push;Promoção Flash;Novo;M;18-24;Sim;Não;Sim;Sim;Não;0;9;4;2;156.0;Não;Não;Não;0.0;;
CLI00948;2025-06-03;Terça;WhatsApp;Reativação;Ativo;F;25-34;Sim;Não;Sim;Não;Não;0;1;57;19;145.29;Sim;Sim;Não;0.0;;
CLI01407;2024-06-30;Domingo;E-mail;Reativação;Inativo;M;25-34;Sim;Sim;Não;Sim;Não;0;6;370;4;111.94;Não;Não;Não;0.0;;
CLI00549;2024-03-26;Terça;Push;Lançamento de Produto;Inativo;F;45-54;Sim;Não;Não;Não;Não;0;6;274;1;173.86;Não;Não;Não;0.0;;
CLI00856;2024-02-21;Quarta;E-mail;Reativação;Ativo;F;25-34;Sim;Não;Não;Sim;Não;0;2;38;13;157.64;Sim;Não;Não;0.0;;
CLI01406;2024-09-22;Domingo;E-mail;Programa de Fidelidade;VIP;M;35-44;Sim;Não;Não;Sim;Sim;30;3;38;6;331.21;Não;Não;Não;0.0;;
CLI01567;2025-03-29;Sábado;Push;Pós-compra;Novo;F;45-54;Sim;Sim;Sim;Sim;Sim;15;4;18;3;112.41;Não;Não;Não;0.0;;
CLI01414;2024-05-01;Quarta;E-mail;Aniversário;Novo;M;35-44;Sim;Sim;Sim;Sim;Sim;5;10;29;5;153.6;Não;Não;Não;0.0;;
CLI01558;2024-10-18;Sexta;E-mail;Promoção Flash;Ativo;F;25-34;Sim;Sim;Sim;Não;Não;0;5;27;2;136.16;Não;Não;Não;0.0;;
CLI00690;2024-06-27;Quinta;WhatsApp;Aniversário;VIP;M;35-44;Sim;Não;Sim;Sim;Não;0;7;25;19;326.67;Não;Não;Não;0.0;;
CLI00698;2024-05-30;Quinta;E-mail;Aniversário;Em Risco;F;18-24;Sim;Não;Sim;Sim;Não;0;1;143;1;159.47;Não;Não;Não;0.0;;
CLI01183;2024-01-14;Domingo;SMS;Aniversário;VIP;F;25-34;Sim;Sim;Sim;Sim;Sim;15;4;45;12;407.74;Sim;Sim;Sim;443.99;Skincare;137
CLI01026;2024-09-30;Segunda;Push;Reativação;Inativo;Não informado;55+;Sim;Não;Sim;Sim;Não;0;9;292;6;147.44;Não;Não;Não;0.0;;
CLI00592;2024-11-10;Domingo;SMS;Lançamento de Produto;VIP;F;25-34;Não;Sim;Sim;Sim;Sim;15;3;24;22;339.17;Sim;Não;Não;0.0;;
CLI01734;2024-06-09;Domingo;E-mail;Reativação;Em Risco;F;25-34;Sim;Não;Não;Sim;Não;0;2;135;2;213.01;Sim;Sim;Não;0.0;;
